|Description|CompanyName|Count|Type|Complexity
25|" In the future it is expected that robots can do the same activities as the operators in a traditional warehouse. So, one could have a warehouse where both robots and operators are responsible for replenishment and picking tasks. 
The assignment is to make a system where we can learn from the operators in the WH (how is the slotting and picking routes operator uses). The idea is to use artificial intelligence, that learns from operators, to develop a strategy which will be used to instruct Robots"|Vanderlande|0.0|Miscellaneous|Complex
26|" '- There should be a system / portal for gathering of on the spot information during road accidents. This information should include photos of the site, interviews with eyewitnesses, information on injuries and fatalities, reason for accident, speed, road condition on relative basis, etc..
- All this data can go into a central database 
- The responsibility for collecting the data could be given either to police, transport authority, ambulance or even ordinary citizens who volunteer for the same
- In the same system, there should also be a provision to submit / exchange Insurance numbers / details in order to settle the dispute if any arising out of accident"|Maruti Suzuki India Ltd.|10.0|Software - Web App development|Complex
27|" '- There should be a system for Traffic policing using GPS and Traffic light / signal system integration & the same should be capable of:
- Deciding priorities when emergency vehicles are in the lanes
- Adaptive (Red-Green) timings based on traffic in lanes, syncronizing consecutive signals in sequence so as to allow smooth flow of traffic on a particular route
- Traffic voilation detection using GPS, Traffic Signal, CCTV's
- Extraordinary event recognition like traffic, accident, Protests etc.
- Pot holes and speed breaker mapping on maps through satellite imaging thru AI algorithm 
- Traffic signal location map"|Maruti Suzuki India Ltd.|0.0|Miscellaneous|Complex
28|" '- There should  be an aggregation app to check & monitor the outbreak of any water borne diseases
- It should have capability to mark on app - the location of the detected case (making mandatory for test lab)
-  This data should be available on cloud & the same can be used by various agencies to take corrective action
- Similar app can be used for various other diseases like dengue, malaria, jaundice, tuberculosis etc..."|Maruti Suzuki India Ltd.|1.0|Healthcare & Biomedical Devices|Complex
29| Currently, currency notes that are in legal tender are used widely in the economy for different transactions and are accepted at various banking touchpoints like branches, ATMs, banking correspondents etc. as well as commerce touchpoints like retail stores, petrol bunks and for various utility/government services. Some touchpoints are more mature at detecting and eliminating counterfeit notes like note counters in branches and note accepting ATMs, but in a wide array of touchpoints cash handling is manual. If simple software that can be downloaded on a phone can detect counterfeit notes that have been detected at other touchpoints then counterfeit detection can be vastly improved thus reducing the fraud.|NCR|4.0|Finance|Complex
30| Currently, the repairs of electronic equipment like phones, refrigerators, TVs etc. is supported by specialized agencies only and general-purpose repair facilities aren’t able to use a wide array of parts available from scrapping of old equipment. If data visualization software can be made available by an industry body to which all participating electronics manufactures can make required data that allows for identifying a part along with compatible hardware/ firmware then this can be used by general-purpose repair agencies and will result in improved re-use of scrapped electronic equipment. For example a common Platform/appln can be developed where technical specifications of components can be shared to make it more usable. We can have facility to upload image and identify components thru them.|NCR|1.0|Miscellaneous|Complex
31| Since 1987 till date almost 1200+ projects have been processed by our Research Department. At present the files and documents of all the projects are recorded or stored in excel sheets or word documents. Research Administration finds it challenging to handle, supervise, monitor and track the progress of the study in the context of defined timelines as the entire project related data are not linked. We need a digital platform  that can link all these documents and send emails.|P. D. Hinduja Hospital & MRC|1.0|Healthcare & Biomedical Devices|Complex
32| We have 4 facilities accommodating OPD, Diagnostics Lab, IPD wards, offices etc. Each floor has multiple washrooms for patients, staff and visitors. The washrooms are cleaned by the Housekeeping staff on a rota basis. Depending on the location, the time of the day etc., a washroom might get dirty much before the next clean-up is scheduled. We need an interactive solution which uses technology to sense if a washroom is dirty, and alerts Housekeeping and captures and analyses data.|P. D. Hinduja Hospital & MRC|3.0|Healthcare & Biomedical Devices|Complex
33| DNB students have to complete a dissertation/ thesis on a research topic for which they require library support. The students and their guides face challenges in searching and accessing relevant articles/ papers from the inhouse library. We want a software solution which will offer a platform that will download all the Indian and global references that are relevant to the students’ research topics.|P. D. Hinduja Hospital & MRC|2.0|Healthcare & Biomedical Devices|Complex
34| The hospital generates a huge amount of medical information about a patient in the form of handwritten medical notes and prescriptions which are scanned and stored as pdf. There is still no way to “read” those scanned documents and extract useful information from them. We need a software solution which can extract useful information from these scanned documents.|P. D. Hinduja Hospital & MRC|2.0|Healthcare & Biomedical Devices|Complex
35| :. I-SEE-U: To design, develop and demonstrate the functioning of a reliable, cost effective, high security, platform to facilitate  virtual visits to the ICU by authorized relatives/ friends  from anywhere at approved times. This Value added Service should be self sustaining thro revenue generation.|Apollo Hospitals|2.0|Healthcare & Biomedical Devices|Complex
36|" One of the important aspects of day –to-day life is transportation and there is a huge surge in the number of accidents every year due to improper maintenance or negligence of the vehicle conditions. Human errors during inspections is another major concern. Hence to improve the quality of testing of vehicles , we need to come up with a solution that could detect anomalies in vehicles due to operational negligence.Operational maintenance today are being done based on visual human inspections and manual devices which are prone to errors. We require an Augmented Reality(AR) based application that could improve the quality of testing in vehicles thereby not overlooking the minor displacements.
With the usage of AR applications, one should be able to identify and recognize any damage to physical parts of a vehicle which would enable a personnel to perform operational maintenance. Image recognition could be used to distinguish between damaged parts with respect the initial state. 
Input: 
Input would be a data set containing labelled images of damaged parts in vehicle and new vehicles of the similar make.
Output:
AR to identify the defective vehicle parts given an image of a vehicle."|Ericsson|1.0|Smart Vehicles|Complex
37|" Design and develop an autonomous bot, that could be used in a large retail store to help with the following activities for a customer
•The bot should provide a user interface wherein the customer will enter the product name or say the product name and the bot should determine in which aisle the product is located and travel to that spot. The customer will follow the bot
•The bot should also display promotional information of the stores"|Infosys|9.0|Software - Mobile App development|Complex
38| Problem 2: Demand triggers: There are hundreds of dependent parameters that drive demand for a commodity.  The parameters have to be crawled and a thread has to be created on each of these parameters for regular tracking . These alerts will then be fed into the model for further analysis|AGR Knowledge Services|0.0|Miscellaneous|Complex
39|" Connect volunteer teachers (educated housewives, retired persons or similar profile)
and students anywhere in the world through an online and live portal. This will be 24/7 open
school where any student can join the classes on any subject at anytime from anywhere. There
are many orphanages where kids are not getting education and old age homes where educated
citizens are willing to share the knowledge but have no way to share. This application will
provide a platform for many such use cases."|Cognizant|18.0|Agriculture and Rural Development|Complex
40| A BOT with self-learning capability with modern natural language processing or deep learning and transliteration cognitive capabilities. The BOTS should scores answer relevancy over time intelligently and can answer tech or non-tech people differently based on their technical ability|Cognizant|1.0|Robotics & Drones|Complex
41| To make software which can analyze different types of videos taken by HD camera / Drone / Robotic tools, so that no human intervention is required to analyze data by watching continuous video. It has many applications like security / safety where video can analyze persons who has not with him safety equipment, or software can analyze pipe cracks, etc.|Adani Group|1.0|Miscellaneous|Complex
42| 2)	To prepare Virtual Reality (VR) programme which can provide hands on Operation & Maintenance training to Employees in classrooms. E.g. Employee can feel opening the pump / turbine / any equipment while veering VR glasses and step by step learn to do operation & maintenance|Adani Group|2.0|Software - Mobile App development|Complex
43| Reverse Logistics is the process of moving goods from their point of consumption or sales for recycling, disposal or reuse. We take back damaged/expired products from about 1.5 million retailers across India. The current process is slow and manual. It takes about 8-12 weeks to process the payment for returned goods. The manual entry makes it difficult to track, audit and analyze the inefficiencies. The Challenge is to design complete digital reverse supply chain for damaged/expired products.|Hindustan Unilever Ltd|4.0|Waste Management|Complex
44|" Digital and mobile technology is bringing innovative ways to bring customer delight in the retail stores. Augmented reality/Virtual reality can help in heightening customer experience and bring several ""wow"" moments while they are buying beauty products. It can help the store assistants in selling the right product to the right customer. The challenge is to design frugal AR/VR based solutions which can help the customers and assistants while trying, testing or buying beauty products."|Hindustan Unilever Ltd|1.0|Software - Mobile App development|Complex
45| Every year Millions of units of consumer products are transported from farms to factories to distributors to retailers and finally the end consumer. To deliver Quality and transparency, Organizations need to be able to trace each product to its origin. The challenge is to design a solution to track each of the millions of units from point of origin to retailer. Traditional bar code based solutions becomes difficult to manage beyond the distributors. The design should need minimal human effort.|Hindustan Unilever Ltd|0.0|Security & Surveillance|Complex
46|" The Challenge is to develop a system to gather anonymized data of people’s movement (no privacy infringement) in a City and then suggest a use-case of how this data can be used to improve any or all of the following attributes of mobility:
1.The need for mobility: Analysis of mass movement across long distances.2.The Efficiency of moving from A to B: 3.The discovery of demand patterns for specific modes of transport.4.The carbon footprint trails.5.The safety of travel.6.Out of Box Insights."|Tata Motors|0.0|Smart Vehicles|Complex
47|"  
Evolving a pull-production system to help optimize working capital and inventories
 
Expected Solution
 
A dynamic simulation software which helps better planning of pull system. 
It shall provide kanban calculation system for internal flow/movement of material/semi finished and finished products. 
It should include visual display system to operating staff on the flow and kanbans to be delivered"|Aurobindo Pharma|0.0|Life Sciences|Complex
48|" To utilize heuristics & predictive AI to dynamically map graphically multiple parameters using mix of internet scouring and syndicated databases

Solution

The AI will utilize  dynamic data base  to update Country market rating on a select cycle for various pharma formulations products"|Aurobindo Pharma|0.0|Life Sciences|Complex
49|" Mobilize Indian IT skill force to create/improve National Importance Systems And application.
Create a platform where IT  skill force can contribute algorithms (codes/programs/modules ,etc.)

Story: Ima Market in Manipur is 500 yrs. old and is the only Asian market run by Women. These women are the only bread earner for the whole family. It’s is a prosperous market, And too reflect the prosperity of the Nation.
However, when earth quake strikes these market was in ruins for months.
The Imas (Mothers),not able to sell, their family suffers. Their anger grew towards system and government.

Proposal: Renovating/Reconstructing/FIXING the damaged market will take time. It depends on lots of factor.
Why not Develop/Deploy a ECommerce platform overnight? Use existing India Ground Forces like post office for delivery.
This would have been a HUGE relief.
Ima market's story is only ONE in Many.

Indian has huge IT  skill force. They want to contribute. Many doesn’t have spare money BUT have knowledge And skills.
They just don’t know how to and They don’t have platform (Ecosystem).

Believing is Indian IT forces, we proposes to create TWO platforms, for which we need intelligent minds to create an algorithm.

1st platform: 
An open Web portal, where all open National Importance Systems And application gets listed.
Against each projects there be two types of contributors 1) Financial 2) Knowledge.

2nd Platform, (This is where we will need all IT minds to develop algorithm(s)).
Individual willing to contribute their knowledge and help improve existing government applications’ or new applications which are listed on the 1st portal.
will use this platform (eco system) to contribute.
This platform is a complete ecosystem to develop application continuously contributed via all Indian citizen who can program.
The platform will be AI, DevOps, GitOps, Self-learning Codes etc. 

Asking: 
Assume,  There is a running application (e.g. an e-commerce website, flipkart). Contributor took Its source code(being opensource) and eventually change them (adding new feature, fixing issue). Now they promoted them back to the scm (The sourceCode repository from where they took). This activity will be done by multiple people at any instance.

Students! Please develop an algorithm (combination of tools and scripts) which will do the following.
1. Check the code promoted by a contributor automatically. If fails standards email back to contributor
2. Check if enough unit level testing is provided. Else email back to contributor
3. Merge main source code with his code in a temporary code branch and test integration, Email back to contributor
4. Deploy the merge code in a temporary container, email back to contributor
5. Auto test all the existing features with existing script and new features with new script provided  by contributor, email back to contributor
6. If, all is good merge the contributor changes to main code and email back to contributor/ project owners.
(refer how google/Facebook does it. However, Here it’s for huge IT population of India.)"|FIS SOLUTIONS(INDIA)|0.0|Software - Web App development|Complex
50|" There is a grocery shop owner in Aundh Pune (decent area to live) who is filing an average income tax of 10k every year. This corresponds to a profitable income of 3L per annum.
Considering a good profit margin of 20%, his total sale should be around 15L per financial year.
Through our product that uses AI and ML, this will verify this data, by backtracking many related transactions.

1.  As per the address and aadhar information, he has two kids studying in school having average yearly expenses of 1.5L each(totals to 3L).
2.  Property tax to the Govt reveals, he is living in an area that costs around 40K (taxes and maintenance).
3.  Owns a car – 60k annual maintenance.
4.  Pays 2L salary to his shop employees.
5.  Minimum living cost is 4L for a family of four.
6.  Average customers per shop in the area is 5K, per person average grocery expenditure is 2k(monthly). This does not include online shopping.
7.  Pan information indicates 1L jewelry shopping this financial year.
8.  Online shopping delivered at his address - 50K.

As per this data, his total income should be around 50L whereas he has declared only 3L( a vast difference!!).
The calculations indicate he is actually hiding his total income, and stealing taxes.
With an efficient system in place, these thefts can be identified, and penalized."|FIS SOLUTIONS(INDIA)|2.0|Finance|Complex
51| Land/Real estate registration is corruption prone process which leads to lot of Benami transactions. Government tries it’s best to eradicate the malpractices, but it doesn’t yield fruitful result. One way to solve this problem is to use blockchain technology in order to capture all the Benami transactions related to Land/Real estate deals.|FIS SOLUTIONS(INDIA)|0.0|Software - Web App development|Complex
52| Mega bot (chatbot) which provides information related to all government sponsored loans/insurance schemes at single place. This interactive chatbot should be able to pull information from various sources like nabard, rbi, etc and should be able to assist the users with the relevant information.|FIS SOLUTIONS(INDIA)|3.0|Software - Web App development|Complex
53| Registration information of property / vehicle is very crucial to identify current and previous ownership. In absence for secure way to validate chain of ownership, same property / vehicle can be fraudulently sold to multiple person. Similarly, we always want to keep records of financial transaction, communication in a way which cannot be manipulated and can be referenced in future. Hence there is need for system which allow creation of data which cannot be manipulated but can be extended|FIS SOLUTIONS(INDIA)|0.0|Finance|Complex
54| The AI powered software solution should be automatically fetch error logs from servers / applications / databases and categorize/ segregate them based on severity and frequency. There should be dashboards for various types of logs. The solution should have capability to visit Google, Bing and relevant OEM support sites for searching KB for solving the errors mentioned in logs and suggest the relevant link as possible solutions. The target is 95% effectiveness in relevance of links.|Gail (India) Ltd|0.0|Software - Web App development|Complex
55| For measuring  very low flow generally a  small meter stream is added as standby. A system is required to be devised which checks the flow passing through the MAIN big metering stream and if the flow goes below a pre determined set point, automatically the Low flow stream is taken in line by opening its valves and subsequently closing the main big meter valves. System need to ensure that low flow meter has become online before closing the main meter valves.|Gail (India) Ltd|0.0|Software - Web App development|Complex
56| The road conditions like pot holes, un marked speed breakers and oil spills shall be detected by a system using cost effective sensors like accelerometers, infra-red sensors, laser sensors, vision based sensors. The output shall be a system architecture and software algorithm for identification of the above road conditions.|ARAI|3.0|Smart Communication|Complex
57|" Video surveillance aims to gather information, to prevent crime, protect property, person or object and to inspect the scene of crime. The participants are required to build a pipeline that acquires image from multiple CCTV cameras and carry out face detection, face recognition and tracking of selected individuals. 
1.Acquisition :Multiple static CCTV cameras are considered.
2.Face detection & Recognition:
detect the faces and recognize the individuals
3. Multiple Person Tracking: Out of the recognized individuals, track target individuals across multiple cameras.
The pipeline must have list of recognized individuals details, from which the user can select target individuals."|HCL TECHNOLOGIES LIMITED|8.0|Security & Surveillance|Complex
58| Many of the frontal collisions on highways are due to slow response of drivers and not many systems are in place to warn the driver about an impending frontal collision. In addition to this, during adverse weather conditions the visibility gets affected, which affects the sensor and the system responses. The participants shall develop the system (architecture and software) using cost effective sensors to ensure safety of the host vehicle while driving on highways.|ARAI|3.0|Smart Vehicles|Complex
59|" Indian operation patterns and duty cycles are heterogeneous and complex and require huge experimentation to ensure durability and reliability of the vehicles. Robust methods and algorithms need to be developed to evaluate data which can be further used as input for new vehicle design and development. 
Participants shall use this data to come up with algorithms for post processing and further performance evaluation. Algorithms shall be generic in nature"|ARAI|0.0|Smart Communication|Complex
60| Metallurgical Analysis is conducted on various Automobile components to determine the probable cause of its Failure. ARAI contains extensive information about various automobile components with respect to their Metallurgical properties & also available with Micrographs. The participants shall develop software algorithms for assessment of Micrographs with view of Predicting the Probable Failure Cause of Automotive Components & the future Prospects. Analysis of Correlation & discovery of pattern|ARAI|0.0|Software - Web App development|Complex
61| Developer would have to build a solution using Artificial Intelligence or some other mechanism to reduce the amount of push notifications sent by e-commerce apps. Currently push notifications are generally sent based on a fixed schedule or some trigger in most apps. This creates multiple notifications every week and irritates the user. The intent should be to only send notifications when the users intent is there to purchase a particular product. Sending push notifications or emails without any user intent to buy that category of product creates frustration to the user. So only when user has intention to buy something the notifications or emails should. The developer has to use a technical method to find that intent using big data and then send notifications or emails according to that method.|PayTM|0.0|Software - Mobile App development|Complex
62|" Background:
Non-communicable disease continues to be an important public health problem in India, being responsible for a major proportion of mortality and morbidity. Demographic changes, changes in the lifestyle along with increased rates of urbanization are the major reasons responsible for the tilt towards the non-communicable diseases. In India, there is no regular system for collecting data on non-communicable diseases (NCDs) which can be said to be of adequate coverage or quality. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3481705/
 
While disease burden surveys from the likes of ICMR (Indian Council for Medical Research) do provide directional insights, bottom-up data is certainly more effective in making focused interventions.
 
For instance, focused on cardio-vascular and diabetes, identification of prevalence and micro-segments of population at risk is critical to deliver care as these require specialist interventions, not easily available in the rural markets. These conditions also require the patients to be on long term care in terms of continuous parameter evaluation and management of the vital parameters. Better understanding of prevalence through early diagnosis and focused geographical/demographical views help deploy the sparse resources effectively – both by the public and private health institutions.               
Objective: How can a combination of UIDAI/Aadhaar, “Low fidelity high frequency” medical devices that can capture recurring diagnostic data at a high frequency come together to enable better data collection? How can advanced data analytics (ML/DL/AI) on top of this data platform help improve 10x, the diagnosis and intervention touch points for non-communicable diseases (NCD) focused on Cardio-Vascular and Diabetes, primarily in Rural/Semi-Urban environments?Guidance:
•             Solution should have measurable key performance indicators (KPI)
•             KPI should be clearly linked to the goal of improving the early diagnosis of these conditions as well as enable planners give access to the distribution of patient population
•             Note: Solution proposed should enable identification of patients to ensure the attributability and accuracy of the data but respect the data privacy of the patients
•             You might want to narrow down the problem into sub parts or address all separately. You can address one or more of the following  :
•             Identify the diagnostic approach for common causes of diabetes and cardio-vascular diseases
•             Identify various common use-case data capture environments and leverage that to build data sets
•             ML/DL models that can creatively leverage varied data sets of demographics, climate, other conditions to progressively improve the diagnosis as well as disease distribution prediction
•             At least one example of the journey should be included in the solution where you provide the details of how your solution will operate/ change a day in life of a patient or a care-professional/planner
•             The 10 X for impact is kept as a framework so that that you don’t provide an incremental solution which cannot be scaled"|Dr Reddy's Labs|0.0|Healthcare & Biomedical Devices|Complex
