|Description|CompanyName|Count|Type|Complexity
10|" TITLE: Leveraging Artificial Intelligence & Image Processing for Online Inspection of Packed Cases

1.BACKGROUND: Leaves of a crop are threshed and are packed into 200 Kg cases. 10% of these packed cases are later inspected for conformity to the master case approved by the customer in terms of Color, Ripeness and Uniformity. The quality inspection processes are manually operated and rely on the judgmental experience of the experts. The judgment is heavily driven by personal, business and environmental factors and is highly subjective.


2.PROBLEM DESCRIPTION: Inspection is a crucial activity to ensure customer satisfaction. Although it doesn’t eliminate the defects in the product, it helps identify the defective products before they are dispatched to the customer. The limitations with the existing inspection process is multi-fold.

• While Customer expects all the cases to be inspected, due to space and man-power constraints, today, the business is able to achieve only 10% inspection. 
• As the inspection process happens one day after the cases are processed, due to limitations with Expert availability, real-time corrective actions in the factory in case of deviations in product quality gets difficult
• Due to human involvement in the visual inspection, there is inherent subjectivity involved in the process

3. PROBLEM STATEMENT: To automate in real-time, the packed case inspection using Machine Learning and Image Processing techniques and enhancing the objectivity of the inspection process. 

4.	PROJECT DELIVERABLES:
(a) To develop 3 separate algorithms which imitate Color, Ripeness and Uniformity inspection while keeping the processing time for each of the algorithms under 1 minute each
(b) The developed Algorithms to be generic of the grade type for all Color, Ripeness and Uniformity dimensions
(c) To identify patterns for Color, Ripeness & Uniformity inspection, if any by understanding the way Algorithm is functioning
---------------------------"|ITC Limited|0.0|Software - Web App development|Complicated
11|" TITLE: Packaging format and design optimizer for packaged food products

1. BACKGROUND: The packaging format design is currently based on trial and error for most of the packaged food products. The packaging format decides the damage any food product will undergo, especially during transit and handling. Especially for biscuits, product breakage is a prime concern, and any packing format is decided retrospectively based on the damage endured during transits (mostly by evaluating breakage). A simulation based model would solve this problem, just like any mechanical design, if packaging design can be tested for relative preference. 

2. PROBLEM DESCRIPTION: Packaging format for food products need to be designed based on a simulation model. This model should involve a multi body dynamics study to evaluate the maximum forces the final packaged food will be subject to during transit and handling. A simulation has to be done basis forces that products undergo during the journey in the supply chain. 

3. PROBLEM STATEMENT: To build a computer simulation model for optimizing packaging design for a given packaged food

4. PROJECT DELIVERABLES:
(a) A comprehensive stimulation model which will help in designing the optimized packaging format.
(b) The simulator should identify and recommend the areas that need to be strengthened for a given load distribution so as to minimize the effects on the product. 
(c) The model has to be made modular taking inputs from different aspects of transit in the supply chain and should be able to be generalized to any product. 
---------------------------"|ITC Limited|0.0|Software - Web App development|Complicated
12|" Frequent cases of personal data leakage has brought back into focus the security issues with different KYC programs. 
A consumer is expected to provide his personal identity for authentication by different agencies, which is known as KYC, but there is no restriction on how much data to be shared with the agencies needing the KYC.
Consumer should have full control over where and how much data is being used by the third parties. We can use a public Blockchain based solution to overcome all these."|MindTree|3.0|Security & Surveillance|Complicated
13| The major reason behind farmers being economically challenged is that they do not get the right market price for their produce. Also, the price they pay for inputs considerably higher than the cost at which the inputs are manufactured. There is no application or service in the market which can help farmers come together and buy inputs in a group directly from manufacturers. Or there is no way farmers can form a group and sell their farm produce to FMCGs or other big buyers. An app will help.|KISAN FORUM PVT LTD|8.0|Agriculture and Rural Development|Complicated
14| The Bearings Rings & assembled Bearings need to be free from visual defects such as Surface Defects, Nicks, Dents, Black Patches, Uncleaned or Un-honed Surfaces, Laser Marking Missing, Character or faint marking etc. This needs to be prevented from being passed on. An automated visual inspection sys is required to detect these defects under actual production environment & oily conditions. Robot system with correct algorithms & intelligence built-in(for self-learning) also need to be built in.|SKF India Ltd.|0.0|Miscellaneous|Complicated
15| India is the world’s fourth largest automobile market with limited parking spots. Ever-growing number of vehicles causes traffic congestion on most streets and roads. Availability of a low cost connected ecosystem will help identify the nearest parking spot when sought. This will resolve issues related to parking as well as reduce traffic jam instances caused due to improper parking situations.|Mahindra&Mahindra(FarmEQ)|5.0|Smart Vehicles|Complicated
16|" AI solution for Integrated Crop protection Management
In today’s scenario, the climatic conditions have become uncertain with unpredictable monsoon, the farmers work hard in the field and grow good crops for the entire nation and suddenly they are struck with bad luck and pest attacks their crop may because of un expected change in climatic condition. 
Relationship between some of the Agro climatic conditions like fog, humidity, temperature sunlight, rainfall, variation in minimum and maximum temperature"|RCF|5.0|Agriculture and Rural Development|Complicated
17|" INTRODUCTION
India is a country with the second largest road network in the world. Out of the total stretch of 5.4 million km of road network, almost 97,991 km is covered by national highways. Challenges in traffic management and congestion cause huge financial, environmental, and physiological costs to the individual and to the government. On an average, a person spends anywhere between 30 minutes to 2 hours of their day commuting, accounting to almost 520 hours a year. It is estimated that the traffic congestion in the four metro cities costs the nation approximately Rs. 1.5 lakh crore (more than the annual Railway budget for this year) {Reference:1,2}. 

This problem statement focuses on developing a specialized aerial solution for automatic aerial analysis of traffic activity in highways and city roads using Unmanned aerial vehicles. The end goal is to explore new possibilities in the field of traffic analysis by its fully automatic calculation of a wide range of traffic parameters such as speed, densities, time, and pollution levels.

These data can be used for:
o	Betterment of road condition: Detecting potholes and inefficient speed breakers
o	Detecting traffic anomalies: Identifying root cause of traffic and other emergencies
o	Toll-gate efficiency: Prevent choking of traffic at toll gates
o	Maintain strict traffic regulations: Identifying traffic violations
o	Aid in controlling city pollution levels: detecting and publishing noise and air pollution levels

Aerial Monitoring using drones overcome the limitations of traditional methods of traffic data collection due to its mobility, complexity, and ability to cover large areas. Airborne sensors (GPS, FPV cameras, gas sensors etc.) provide sufficient amount of data to enable vehicle location and movement monitoring.

MathWorks tools like the Image Processing, Computer Vision System, Statistics and Machine Learning, Mapping Toolboxes and Hardware Support Packages for drones open door to a variety of applications in these areas {Reference:3-5}.

MATHWORKS SOFTWARE AND TOOL KITS:
MATLAB R2018b or earlier versions [although some products may have been transitioned (Neural Network Toolbox -> Deep Learning Toolbox)]
MATLAB, Simulink, Computer Vision System Toolbox, Image Processing Toolbox, Signal Processing Toolbox, Statistics and Machine Learning Toolbox, Deep Learning Toolbox 
(A comprehensive solution would involve aspects of hardware (drones, IOT), software (vision) and communication (RF) capabilities to work together. From the purpose of feasibility of execution as a Hackathon, we could focus on the software part of the solution.)

FREE MATLAB TRIAL:
Get started now with your FREE trial
https://in.mathworks.com/campaigns/products/trials.html



REFERENCES:
1] https://www.financialexpress.com/economy/traffic-jam-in-4-metros-costs-more-than-entire-rail-budget-this-city-has-worst-peak-hour-congestion/1146356/
[2] http://www.newindianexpress.com/cities/bengaluru/2018/apr/19/traffic-congestion-costs-bengaluru-rs-38000-crore-annually-1803533.html
[3] https://www.mathworks.com/help/images/detecting-cars-in-a-video-of-traffic.html
[4] https://www.mathworks.com/help/thingspeak/Use-Area-Plot-to-Compare-Traffic-Data-Sets.html
[5] https://www.mathworks.com/matlabcentral/fileexchange/20287-vehicle-traffic-patterns-at-an-intersection-simevents

CATEGORY:
Hardware + Software

TECHNOLOGY BUCKET:
 Software – Image processing, computer vision, deep learning"|MathWorks India Pvt Ltd|4.0|Robotics & Drones|Complicated
18|" Develop the concept of an integrated Health Care portal with App that helps common man to look for a hospital or a doctor for any consultation needs or undergoing medical procedure.

A platform that offers service providers approved for offering diagnostic tests at regulated price and quality.

This portal could be linked to IRDA approved healthcare insurance companies with clear mention of what is included and what is not, Deductibles, etc."|Thermo Fisher|5.0|Life Sciences|Complicated
19|" Develop a generic BOT mobile App (Android and ios) that can be used for voice/textual chat interactions with various stake holders in a structured and/or unstructured manner. 
E.g. structured – what is my order status? – BOT would respond with the current order status by fetching the same from back end Database.
E.g Unstructured – status - BOT would respond with order status, delivery status, payment status, etc. from back end Database.
Architecture should be open enough to be used with multiple"|Dalmia Cement|1.0|Software - Mobile App development|Complicated
20| A cost effective parking solution to address the problems faced by patients/attendants. The solution that we are looking is from a space optimization angle. There is a parking area with limited space. Once a vehicle enters, the system should be able to calculate its space requirement for parking and put it in a location to get optimal usage.|Manipal Health Enterprise|13.0|Smart Cities|Complicated
21| Everest Industries Limited, has 12 manufacturing line. For Plant and Machinery, company maintains Spare Parts and consumables at each plant location. To have an Optimum Inventory (Just in Time) of spares and consumables based on consumption rate/pattern and lead time.|Everest Industries Ltd|0.0|Software - Web App development|Complicated
22| In order to manufacture products ( size wise, quantity and expected delivery date) as required by the market, company require Makesheet ( Production Plan ) to Schedule and manufacture the products. Company is looking for solution based on market requirement – size-wise product, quantities and expected date of delivery and also the Sheet Machine conditions required to manufacture different size products.|Everest Industries Ltd|0.0|Software - Web App development|Complicated
23| During manufacturing of built-up I sections, plate nesting software OmniCAD or 2D – Plus is used to nest the virgin raw material plates. After nesting for a particular project, unutilized balance non-standard shape of plate needs to be stored electronically in CAD form to get utilized in future project. Tool is required to store the shapes and archive it during new nesting planning.|Everest Industries Ltd|0.0|Miscellaneous|Complicated
24| Steel building construction planning and actual on site progress  against planning needs to get monitored and analysed on daily basis to identify the risks. Tool is required to update the status of the activities against the planned one on daily basis for effective monitoring of each project.|Everest Industries Ltd|1.0|Software - Mobile App development|Complicated
25| Each steel building construction activity would need critical quality assurance requirement and work needs to be delivered within specified erection tolerances. Tool is required to update the status of the identified critical activity against its actual on site inspection report for each project on real time basis.|Everest Industries Ltd|0.0|Software - Mobile App development|Complicated
26|" In today’s world, the usage of IOT devices in day to day life has increased exponentially. Even though the carbon footprint by a single IOT device is negligible, in a public system where there are millions of sensors/radio devices deployed, this creates a considerable carbon footprint in the neighborhood. With huge amount of sensors installed and sending traffic every millisecond, it becomes important to create a smart and dynamic system that will reduce the amount of carbon footprint by utilizing the characteristics of the devices. 
To optimize the carbon footprint of the IOT devices, we need to come up with an innovative solution to dynamically power on and off the devices without compromising on their functionality. For example, let us assume there exists a system to determine the pollution of a city and thousands of sensors are attached to it. We need to find a method to identify the devices to be turned on or off, reducing the cumulative carbon footprint of the devices fulfilling the functionality i.e. Measurement of pollution level in all locations at a given time.
Input: a data set containing latitude-longitude at which sensors are deployed, sensor proximity, carbon-footprint, network topology and other required information   Output: a system to determine when and which sensors to be powered on/off dynamically and the total reduction in carbon footprint obtained."|Ericsson|0.0|Smart Communication|Complicated
27| Traffic & Accident management in India is a complex activity given the number of riders & automobiles we have. Using the existing video feeds that come through the cameras positioned on highways, traffic signal & busy roads, detect the following incidents/events 1) Bike riders who are riding without helmets 2) Count of vehicles that are passing through a signal/road at any given point in time. It should allow report generation on various parameters. 3) Ability to read vehicle no & track & search|Infosys|10.0|Security & Surveillance|Complicated
28| Problem 1: Consensus price forecast: There are about 400 broker / analyst reports to be read every month. The relevant data has to be extracted and then analysed . These are generally in pdf format.  In addition the reports from each broker in the last 10 years have to be evaluated  for their accuracy (actual vs estimated) so that the future forecasts are more robust. please see https://drive.google.com/open?id=155H1Hzn0B_h9rVkJ7bhwJd_-wJP-O2Q-https://drive.google.com/open?id=155H1Hzn0B_h9rVkJ7bhwJd_-wJP-O2Q-|AGR Knowledge Services|0.0|Miscellaneous|Complicated
29| The idea is to help cash crop farmers select the right time to harvest their produce to avoid crop loss due to various diseases and lack of rain. Tamilnadu as a state will stand to gain enormously by using such ML aided applications in advising the farmers on a variety of such issues.  The problem statement differs from one state to another and the coverage is also quite wide.  Picking one crop for a select set of area and a select set of farmers with selected diseases or crop damage issue could|Cognizant|2.0|Agriculture and Rural Development|Complicated
30|" Quality of life is on a steady decline with the onset of white collar jobs. The spending power has gone up but at the cost of time for themselves and family. For  the first time in the history of India, people are deficient in vitamin D which is freely available leading to many health risks and diseases. This nutrient deficiency not only leads to poor health but also hinders restorative sleep leading to mental illness as well. 
A mechanism to encourage people to be active, track users' physical activity and habits tracking and have information handy with real time updates, and being healthy as a community would be a great aspiration."|Cognizant|0.0|Healthcare & Biomedical Devices|Complicated
31|" General Data Protection Regulation (""GDPR"") is a regulation in EU law within European Union (EU) and the European Economic Area (EEA), to protect all EU citizens from privacy and data breaches. At the same time we have an increasing demand for personalization, like  personalized travel offers and suggestions. The problem statement is ""How can we treat data differently, maintaining the value of personal taste but being able to target specifically, without exposing the data of the individual?"""|Amadeus Software Labs|0.0|Travel and Tourism|Complicated
32|" Over recent times, augmented and virtual reality has become increasingly popular within the travel industry. We would like to know ""What are the new and innovative ways, the technologies AR and VR can be helpful for travel industry! Basically, we are inviting new solutions and use cases, how AR/VR can be implemented, so that the travel providers like airlines, airports, hotels and travel agencies can enhance their customer's experiences!"|Amadeus Software Labs|1.0|Travel and Tourism|Complicated
33|" 3D printing of plastics often leads to shrinkage and wrapage of components. Because each component could have a different surface area and volume, the distortion in shape greatly varies between different shapes of components. This poses significant challenge in 3D printing of simple joints and fits that are used to connect two components together. 
The challenge is to come up with a calibration curve for a typical joint of two components which will act as a ready reference for engineers"|Cyient|0.0|Miscellaneous|Complicated
34| Immersive experience is a trend where people interact & perceive real world through digital medium. How great would it be to experience anything digitally before experiencing it in the real world? This can be made possible with either Virtual Reality (VR) or Augmented Reality (AR). The challenge is in creating immersive experience with LiDAR point cloud data. We are looking to create a VR Shell app that can create immersive experience using point cloud data as input.|Cyient|0.0|Miscellaneous|Complicated
35| Engine manufacturers are legally responsible ensuring limited deterioration of SCR efficiency over specified life of the engine usage in field. Kirloskar Oil Engines is interested in development of “on line SCR efficiency monitoring system” and communicate the SCR efficiency data.  This project should use existing NOX sensors, mass flow, diesel flow and temperature online data available with ECU to monitor SCR efficiency at the operating points in field with some statistical confidence.|Kirloskar Oil Engines|0.0|Miscellaneous|Complicated
36| Modern CRDI engines are equipped with air mass flow sensor and pressure sensor. There is need to get early warning when air filter gets chocked. algorithm has to be developed to provide early signal to operator about air filter choking. It will help is service of vehicle to be carried out at appropriate time.|Kirloskar Oil Engines|0.0|Sustainable Environment|Complicated
37| Buying furniture online needs to provide customers a way of experiencing the look and feel of products within the context of their home. Design and implement a mobile experience where they can place 3D objects from Pepperfry’s product catalogue in their home/office setting using AR - visualise the items in a 3D perspective, change/add multiple items and then proceed to checkout. The 3D objects and checkout flow will be provided by Pepperfry|Pepperfry|7.0|Software - Mobile App development|Complicated
38| In the order fulfilment process, last mile delivery plays a key role. Once the items reach the delivery centres we need to come up with way to most efficiently plan the route to be taken for the delivery which considers - distance, customer availability, traffic status, vehicle availability and capacity and any other factors. Design a solution which takes the input of all orders to be done on a day and creates the most optimised routes and times to be used by delivery fleet for timely delivery.|Pepperfry|2.0|Software - Web App development|Complicated
39| Efficient and safe public transport system within cities is the need of the hour. This would be possible by bridging the supply-demand gap. To achieve this, accurate tracking/estimation of movement of people is required. Demonstrate a mechanism to accurately capture movement of people within city throughout the day and an algorithm to estimate adequate buses required to match the demand.|KPIT|3.0|Travel and Tourism|Complicated
40|" To develop a solution to Track & Trace the goods using IOT methodology  to track variations in Vital Parameters such as Temperature, Location & Damages for Overseas Shipment	

Expected Solution

To develop a solution to Track & Trace the goods using  IOT methodology  to track variations in Vital Parameters such as Temperature, Location & Damages 	

 Benefits
 
Real-time Temperature Monitoring 
Real-time Latitude/ Longitude Monitoring & Identify mis-routes"|Aurobindo Pharma|1.0|Life Sciences|Complicated
41| Surgeons perform endoscopic surgery by looking at the live camera view fitted inside an endoscope. Endoscopes are tiny telescopic tubes inserted into patients’ bodies for performing surgery on target with high precision with minimal collateral damage. Inexperienced surgeons often find it difficult to identify what they are seeing on the camera view during surgery. This is because, the endoscope only shows a magnified planar view of a tiny portion inside the body, without any other visual references. It would be good to have a solution which recognizes the body parts, annotates them and also provides a spatial frame of reference to the surgeon on a live camera view.|Pathirakha Foundation|0.0|Healthcare & Biomedical Devices|Complicated
42| TTS is important for many of the government initiatives in Digital India program to help people who cannot read/write or unable to understand the menus of the application.Current TTS solutions are based on English. Local language support is minimal and existing solutions are based on English accent. TTS solutions for Indian languages with an Indian accent should be developed. The solution provided should support multiple Indian/regional languages with local accent having multiple voice selection|Bharat Electronics Ltd|3.0|Smart Communication|Complicated
43|" Brief: 
•	In the era of IoT there are plenty of edge control devices that collect data, aggregate, stores and bridge to the cloud.
•	They are also expected to do minimum in premise analytics & decisions, while they aggregate millions of records in a large scale IoT solution.
•	An efficient search engine which is embedded in the IoT edge control device would speed up the analytics, improve user’s operational efficiency.
A few considerations:
•	Consider the Embedded device is equipped with webserver, webpages for user interactions. It contains onboard embedded memory as well as expandable memory by micro SD card slots. 
•	Teams can use any popularly known embedded targets for their experiments and demonstrations. Open sources can be reused with duly respecting any license terms applicable. Simulated data or a real data can be used. Data shall be heterogeneous data.  
Outcome:
•	The expected outcome would be an end to end solution for the aforementioned requirements. It can also be a partial solution  specific to the data storage like innovative file systems for edge devices, innovative storage of data records, retrieval of the records or an innovative search engine that finds and populates the relevant data or records as per the user input, innovative and efficient linking of data dynamically within the edge device, etc.
•	 If there is any specific ideas to improve in the hardware or interfaces to address the above said requirement is also in the scope to produce as final outcome. 
 
Results:
•	A mere integration of well-known existing techniques & existing solutions is not expected. Results should highlight the specific improvement, uniqueness in the outcome compared to the existing state of the art. Practical implementation is preferred as a Proof of Concept (PoC) rather than a theoretical proposal. However, the outcome shall present concept document, theory along with implemented PoC. Results to demonstrate tangible benefits or comparison study wherever applicable."|Schneider Electric|0.0|Smart Communication|Complicated
44| In everyday technological contexts, it is observed that, customers tend to engage more proficiently with a conversational user interface. Such interfaces, if smart, increases the customer satisfaction and improves the user experience. The objective is to design and develop a conversational interface that supports voice channel and accepts multilingual input. The model should leverage latest technological advancements including natural language processing, natural language generation, speech recognition and artificial intelligence. The interface should handle various banking related customer requests and extend other banking services. It should accept user’s voice input, process it and reply with appropriate voice output. The prototype can be a web interface or a mobile application interface.|Kotak Mahindra Bank|0.0|Smart Communication|Complicated
45| In a GMP manufacturing organization with 2000+ employees, tracking employee training details is one of the key tasks. How to manually track the employee training details and alert the users through an excel spread sheet easily?  We are in 21st Century & moving ahead with new trends of technology. Organizations need to keep their workforce up to speed with the latest trends & procedures. How to keep the skill set of the personnel as per the current requirements of GMP?|Shantha - Sanofi|0.0|Software - Web App development|Complicated
46| The e-commerce companies find it very difficult to profit since their are lot of return backs and cancellations in e-commerce orders. Also even when orders are properly accepted the customer may want to pay by EMI. Thus their needs to be a system to create a credit and buying profile of a customer. This has to be done in a way that it does not create privacy issue for the customer. The developer should use data from customers and try to use technologies like big data/AI/statistical analysis to create a profile of customer without compromising his or her privacy. Then based on that the system should give delivery benefits and EMI options to the user. So a customer who has negative buying profile will not get Cash on Delivery option. Similarly customers with negative credit profile will not get EMI options.|PayTM|2.0|Software - Mobile App development|Complicated
47| Phishing attacks are becoming common. The common man is sometimes duped of hard earned saving due to phishing attacks. Specially vulnerable are old people. They are targeted for their net banking/online wallet PIN or password. The developer should design a system to solve this problem. This problem cannot be solved using only technology. Special focus will have to be put on User Experience (UX) design and User Interface (UI) design. Solutions should keep in mind old users, users who are from villages, users who are not technically savvy and kids. These are specially vulnerable groups.|PayTM|4.0|Security & Surveillance|Complicated
48| Many games, furniture items or construction kits come with build instructions which are usually represented in 2 dimensional print material or PDFs for consumption via computers. Depending on the nature of the item being built, 2 dimensional instructions are sometimes insufficient. At Plezmo, we develop products to teach computer science, design thinking and IoT fundamentals to School and College students. Part of our product line is a set of models which the users construct from die-cut cardboard sheets. We would like the users to be able to scan a QR code on these cardboard sheets using a phone/tablet App which will present user with Augmented Reality build and assembly instructions of all the models that can be built using that cardboard sheet overlayed on top of the cardboard itself. Users should be able to click the app for next and previous buttons which will allow them to go back and forth between various intermediate steps of assembly. The AR data should be fetched from a cloud backend. The cloud backend should have ability to upload new 3D data for different models along with the intermediate steps etc.|Plezmo|3.0|Software - Mobile App development|Complicated
49| Outgoing Mails & Incoming mails to a particular Mail Id. Within this segregation should be made between internal domain & external domain. Day/Week/Month/Year Wise reports should be available. Top 10 Mail Id’s by No. Of Mail received / sent, Size of mail Boxes, Total size of Attachments sent / received should be made available, Mail Boxes being archived daily, Mail Boxes not being Archived etc. Many more Criteria’s for preparing a Mail Dashboard can be thought of. Dashboard should not be particular Mail Specific. It should work for Lotus Domino, Exchange etc.|Goa Shipyard Ltd|0.0|Smart Communication|Complicated
50|" Requirement of a Joint Portal for Knowledge Management between DPSU’s. With a near common Product Mix, Production Methods, it becomes imperative that knowledge gained in sorting out different defects, coming up with new ideas is shared and utilized between Defence PSU’s.
While developing a mechanism for this knowledge sharing, adherence to basic principles of ease of use, accessibility from different companies, where to host, maintenance of the site and who would be the Portal Administrator, Catching comments about the Knowledge piece posted, Giving of points as rewards (Scale 1-10) for any knowledge piece should be thought upon and included in scope."|Goa Shipyard Ltd|0.0|Software - Web App development|Complicated
51| MD’s message online to the Company’s Workforce. Without movement of the workforce in a Auditorium, Workforce can hear what is MD’s message to the workforce and they should be able to ask their questions / queries too from their work location. Session should be completely interactive after the address is over and implemented from PC’s kept at different locations. How can this be implemented.|Goa Shipyard Ltd|0.0|Smart Communication|Complicated
52| Tracking of Preventive Maintenance of machines, systems, sub-systems, tools & generation of alerts at 6 months prior for AMC renewal & 3 months for any PM. Grouping of related items for a single AMC / Single PM to a supplier. Scheduling of the PM so as not to hurt actual production time lines. Having Analytics built in for spares upkeep, Proper scheduling etc should be the outcome.|Goa Shipyard Ltd|0.0|Software - Web App development|Complicated
53|" BRIEF on GOONJ:- its a 19+ years old non-profit organization working on  utilizing discarded urban material as a tool for development. We are a force of 900 people with work spread across 23 states in India. Goonj  has won many National and International awards including the Ramon Magsaysay award 2015 to our founder Anshu Gupta. The work has touched upon some difficult rural development issues like water, sanitation, infrastructure, agriculture, migration apart from sustained work in disaster-hit communities.
Goonj receives tonnes of material annually from urban population.  This material goes through storing, sorting and processing. Sorted material is converted into kits of reusable material. Goonj engages with local communities in far flung areas in rural India to get development work done in their community using their own local resources and manpower. Material packed in kits is used as a parallel currency and is given out as a reward for their efforts. 
Do visit our website www.goonj.org to know more.                         
PROBLEM STATEMENT - IMPACT ASSESSMENT ON ENVIRONMENT :--.  Goonj deals with 3000+ tones (and increasing) of material (trash) annually. Material constitutes of apparel, cloth, kitchen utensils & appliances, electronic items, toys, stationery, books, footwear, furniture and many other household items. Goonj up-cycles the material and uses as parallel currency to get development work done in rural India.
Up-cycling and extending the life of any material saves it from being dumped into landfill.
PROVIDE A SOLUTION  to measure quantifiable environmental impact, of various types of material, if it had reached garbage/landfill.  Use standard global environmental parameters for different types of material to derive at an impact."|Goonj|1.0|Waste Management|Complicated
54| A business directory in the form of short videos tagged with the name of the entrepreneur, his business, his USP should be available for people to watch and derive inputs from / or connect.  An application to enable people to apply for uploading videos created by them should be available. This application should check first level eligibility for uploading and also have a search and index mechanism, so people can search videos based on the sectors of their interest.|deAsra|1.0|Software - Mobile App development|Complicated
55|" there are a number of entrepreneur clubs operating in different parts of
the city/state. They are in the form of a gathering of people where people connect
and network for their own business interests. An application is required through
which an online forum is created for these entrepreneurs. This application should enable an entrepreneur to register himself giving details like – Who I am, what do I do, and, What I can give/supply. This application should further match entrepreneurs depending on their interests and “asks” and “haves” automatically. This data will generate fruitful connections for both."|deAsra|4.0|Software - Mobile App development|Complicated
